time,day_of_week,weather,power_consumption_kWh,solar_irradiance_Wm2,solar_generation_kWh
2024-01-01 00:00,0,Night,0.45,0.0,0.0
2024-01-01 01:00,0,Night,0.69,0.0,0.0
2024-01-01 02:00,0,Night,0.33,0.0,0.0
2024-01-01 03:00,0,Night,0.65,0.0,0.0
2024-01-01 04:00,0,Night,0.49,0.0,0.0
2024-01-01 05:00,0,Night,1.27,0.0,0.0
2024-01-01 06:00,0,Rainy,1.4,28.07,0.129
2024-01-01 07:00,0,Rainy,1.85,33.14,0.152
2024-01-01 08:00,0,Rainy,1.41,19.86,0.091
2024-01-01 09:00,0,Rainy,0.72,40.57,0.187
2024-01-01 10:00,0,Cloudy,0.5,162.61,0.748
2024-01-01 11:00,0,Cloudy,0.81,207.15,0.953
2024-01-01 12:00,0,Sunny,0.69,547.42,2.518
2024-01-01 13:00,0,Sunny,0.73,587.14,2.701
2024-01-01 14:00,0,Sunny,0.85,683.75,3.145
2024-01-01 15:00,0,Sunny,0.59,460.82,2.12
2024-01-01 16:00,0,Sunny,0.79,556.82,2.561
2024-01-01 17:00,0,Cloudy,2.9,128.31,0.59
2024-01-01 18:00,0,Night,2.48,0.0,0.0
2024-01-01 19:00,0,Night,2.26,0.0,0.0
2024-01-01 20:00,0,Night,2.16,0.0,0.0
2024-01-01 21:00,0,Night,2.3,0.0,0.0
2024-01-01 22:00,0,Night,1.78,0.0,0.0
2024-01-01 23:00,0,Night,1.18,0.0,0.0
2024-01-02 00:00,1,Rainy,0.69,0.0,0.0
2024-01-02 01:00,1,Rainy,0.54,0.0,0.0
2024-01-02 02:00,1,Night,0.39,0.0,0.0
2024-01-02 03:00,1,Rainy,0.6,0.0,0.0
2024-01-02 04:00,1,Cloudy,0.33,0.0,0.0
2024-01-02 05:00,1,Cloudy,1.19,0.0,0.0
2024-01-02 06:00,1,Cloudy,1.18,161.12,0.741
2024-01-02 07:00,1,Rainy,1.31,25.26,0.116
2024-01-02 08:00,1,Cloudy,1.16,129.05,0.594
2024-01-02 09:00,1,Cloudy,0.81,174.27,0.802
2024-01-02 10:00,1,Rainy,0.6,44.19,0.203
2024-01-02 11:00,1,Rainy,0.65,40.46,0.186
2024-01-02 12:00,1,Rainy,0.71,58.96,0.271
2024-01-02 13:00,1,Rainy,0.61,53.91,0.248
2024-01-02 14:00,1,Rainy,0.88,61.74,0.284
2024-01-02 15:00,1,Cloudy,0.86,216.16,0.994
2024-01-02 16:00,1,Rainy,0.67,51.05,0.235
2024-01-02 17:00,1,Rainy,2.51,45.78,0.211
2024-01-02 18:00,1,Cloudy,2.1,0.0,0.0
2024-01-02 19:00,1,Cloudy,1.55,0.0,0.0
2024-01-02 20:00,1,Cloudy,1.99,0.0,0.0
2024-01-02 21:00,1,Rainy,2.31,0.0,0.0
2024-01-02 22:00,1,Night,2.78,0.0,0.0
2024-01-02 23:00,1,Night,1.19,0.0,0.0
2024-01-03 00:00,2,Night,0.65,0.0,0.0
2024-01-03 01:00,2,Night,0.32,0.0,0.0
2024-01-03 02:00,2,Cloudy,0.44,0.0,0.0
2024-01-03 03:00,2,Cloudy,0.48,0.0,0.0
2024-01-03 04:00,2,Cloudy,0.54,0.0,0.0
2024-01-03 05:00,2,Cloudy,1.21,0.0,0.0
2024-01-03 06:00,2,Rainy,1.12,26.11,0.12
2024-01-03 07:00,2,Stormy,1.53,0.0,0.0
2024-01-03 08:00,2,Sunny,1.23,309.52,1.424
2024-01-03 09:00,2,Rainy,0.58,55.36,0.255
2024-01-03 10:00,2,Cloudy,0.78,166.16,0.764
2024-01-03 11:00,2,Cloudy,0.75,168.37,0.775
2024-01-03 12:00,2,Rainy,0.8,72.06,0.331
2024-01-03 13:00,2,Sunny,0.89,656.11,3.018
2024-01-03 14:00,2,Cloudy,0.87,269.98,1.242
2024-01-03 15:00,2,Sunny,0.52,432.72,1.99
2024-01-03 16:00,2,Sunny,0.76,520.85,2.396
2024-01-03 17:00,2,Cloudy,2.51,190.88,0.878
2024-01-03 18:00,2,Night,1.52,0.0,0.0
2024-01-03 19:00,2,Night,1.55,0.0,0.0
2024-01-03 20:00,2,Night,2.99,0.0,0.0
2024-01-03 21:00,2,Night,2.1,0.0,0.0
2024-01-03 22:00,2,Rainy,1.7,0.0,0.0
2024-01-03 23:00,2,Rainy,0.71,0.0,0.0
2024-01-04 00:00,3,Stormy,0.42,0.0,0.0
2024-01-04 01:00,3,Cloudy,0.66,0.0,0.0
2024-01-04 02:00,3,Cloudy,0.47,0.0,0.0
2024-01-04 03:00,3,Cloudy,0.38,0.0,0.0
2024-01-04 04:00,3,Night,0.48,0.0,0.0
2024-01-04 05:00,3,Night,1.33,0.0,0.0
2024-01-04 06:00,3,Cloudy,1.13,121.91,0.561
2024-01-04 07:00,3,Sunny,1.1,222.98,1.026
2024-01-04 08:00,3,Sunny,1.64,324.33,1.492
2024-01-04 09:00,3,Cloudy,0.67,156.08,0.718
2024-01-04 10:00,3,Cloudy,0.82,233.93,1.076
2024-01-04 11:00,3,Rainy,0.52,50.94,0.234
2024-01-04 12:00,3,Cloudy,0.61,271.96,1.251
2024-01-04 13:00,3,Cloudy,0.61,227.06,1.044
2024-01-04 14:00,3,Cloudy,0.61,275.56,1.268
2024-01-04 15:00,3,Cloudy,0.85,202.19,0.93
2024-01-04 16:00,3,Rainy,0.77,48.58,0.223
2024-01-04 17:00,3,Rainy,2.65,39.94,0.184
2024-01-04 18:00,3,Night,2.03,0.0,0.0
2024-01-04 19:00,3,Cloudy,2.83,0.0,0.0
2024-01-04 20:00,3,Cloudy,2.86,0.0,0.0
2024-01-04 21:00,3,Cloudy,2.33,0.0,0.0
2024-01-04 22:00,3,Night,1.78,0.0,0.0
2024-01-04 23:00,3,Night,1.07,0.0,0.0
2024-01-05 00:00,4,Night,0.56,0.0,0.0
2024-01-05 01:00,4,Night,0.68,0.0,0.0
2024-01-05 02:00,4,Cloudy,0.53,0.0,0.0
2024-01-05 03:00,4,Night,0.31,0.0,0.0
2024-01-05 04:00,4,Night,0.65,0.0,0.0
2024-01-05 05:00,4,Cloudy,1.19,0.0,0.0
2024-01-05 06:00,4,Sunny,1.13,255.71,1.176
2024-01-05 07:00,4,Cloudy,1.91,116.07,0.534
2024-01-05 08:00,4,Sunny,1.6,272.52,1.254
2024-01-05 09:00,4,Sunny,0.73,420.29,1.933
2024-01-05 10:00,4,Sunny,0.61,464.79,2.138
2024-01-05 11:00,4,Sunny,0.56,465.09,2.139
2024-01-05 12:00,4,Sunny,0.65,696.72,3.205
2024-01-05 13:00,4,Sunny,0.58,610.95,2.81
2024-01-05 14:00,4,Sunny,0.85,554.52,2.551
2024-01-05 15:00,4,Cloudy,0.86,121.64,0.56
2024-01-05 16:00,4,Cloudy,0.6,146.21,0.673
2024-01-05 17:00,4,Cloudy,2.2,116.93,0.538
2024-01-05 18:00,4,Night,2.13,0.0,0.0
2024-01-05 19:00,4,Night,2.59,0.0,0.0
2024-01-05 20:00,4,Cloudy,2.21,0.0,0.0
2024-01-05 21:00,4,Night,2.22,0.0,0.0
2024-01-05 22:00,4,Night,2.01,0.0,0.0
2024-01-05 23:00,4,Night,0.75,0.0,0.0
2024-01-06 00:00,5,Night,0.55,0.0,0.0
2024-01-06 01:00,5,Night,0.52,0.0,0.0
2024-01-06 02:00,5,Cloudy,0.9,0.0,0.0
2024-01-06 03:00,5,Cloudy,0.79,0.0,0.0
2024-01-06 04:00,5,Cloudy,0.64,0.0,0.0
2024-01-06 05:00,5,Cloudy,0.8,0.0,0.0
2024-01-06 06:00,5,Cloudy,1.35,153.27,0.705
2024-01-06 07:00,5,Cloudy,1.69,89.1,0.41
2024-01-06 08:00,5,Rainy,1.87,38.58,0.177
2024-01-06 09:00,5,Rainy,1.35,41.28,0.19
2024-01-06 10:00,5,Rainy,1.44,37.54,0.173
2024-01-06 11:00,5,Rainy,1.03,49.56,0.228
2024-01-06 12:00,5,Stormy,1.15,0.0,0.0
2024-01-06 13:00,5,Rainy,1.35,52.23,0.24
2024-01-06 14:00,5,Cloudy,1.38,281.42,1.295
2024-01-06 15:00,5,Rainy,1.11,35.98,0.165
2024-01-06 16:00,5,Rainy,1.23,32.83,0.151
2024-01-06 17:00,5,Rainy,2.13,32.79,0.151
2024-01-06 18:00,5,Cloudy,2.07,0.0,0.0
2024-01-06 19:00,5,Cloudy,2.62,0.0,0.0
2024-01-06 20:00,5,Rainy,2.35,0.0,0.0
2024-01-06 21:00,5,Cloudy,3.03,0.0,0.0
2024-01-06 22:00,5,Cloudy,2.67,0.0,0.0
2024-01-06 23:00,5,Cloudy,1.5,0.0,0.0
2024-01-07 00:00,6,Cloudy,0.82,0.0,0.0
2024-01-07 01:00,6,Rainy,0.62,0.0,0.0
2024-01-07 02:00,6,Rainy,0.77,0.0,0.0
2024-01-07 03:00,6,Rainy,0.59,0.0,0.0
2024-01-07 04:00,6,Rainy,0.84,0.0,0.0
2024-01-07 05:00,6,Rainy,0.62,0.0,0.0
2024-01-07 06:00,6,Cloudy,1.45,128.33,0.59
2024-01-07 07:00,6,Cloudy,1.21,123.47,0.568
2024-01-07 08:00,6,Cloudy,1.5,118.44,0.545
2024-01-07 09:00,6,Cloudy,1.04,184.12,0.847
2024-01-07 10:00,6,Cloudy,1.95,171.36,0.788
2024-01-07 11:00,6,Cloudy,1.34,220.15,1.013
2024-01-07 12:00,6,Rainy,1.49,66.28,0.305
2024-01-07 13:00,6,Sunny,1.3,639.16,2.94
2024-01-07 14:00,6,Cloudy,1.85,253.96,1.168
2024-01-07 15:00,6,Cloudy,1.11,139.53,0.642
2024-01-07 16:00,6,Sunny,1.55,431.15,1.983
2024-01-07 17:00,6,Cloudy,1.97,184.46,0.849
2024-01-07 18:00,6,Night,1.85,0.0,0.0
2024-01-07 19:00,6,Night,1.87,0.0,0.0
2024-01-07 20:00,6,Night,2.61,0.0,0.0
2024-01-07 21:00,6,Night,2.85,0.0,0.0
2024-01-07 22:00,6,Night,3.06,0.0,0.0
2024-01-07 23:00,6,Night,1.44,0.0,0.0
2024-01-08 00:00,0,Night,0.39,0.0,0.0
2024-01-08 01:00,0,Rainy,0.6,0.0,0.0
2024-01-08 02:00,0,Cloudy,0.42,0.0,0.0
2024-01-08 03:00,0,Night,0.56,0.0,0.0
2024-01-08 04:00,0,Night,0.42,0.0,0.0
2024-01-08 05:00,0,Night,1.48,0.0,0.0
2024-01-08 06:00,0,Stormy,1.09,0.0,0.0
2024-01-08 07:00,0,Stormy,1.13,0.0,0.0
2024-01-08 08:00,0,Rainy,1.61,30.05,0.138
2024-01-08 09:00,0,Rainy,0.68,37.17,0.171
2024-01-08 10:00,0,Rainy,0.87,38.4,0.177
2024-01-08 11:00,0,Sunny,0.74,514.04,2.365
2024-01-08 12:00,0,Cloudy,0.57,234.61,1.079
2024-01-08 13:00,0,Cloudy,0.81,227.13,1.045
2024-01-08 14:00,0,Cloudy,0.73,253.64,1.167
