time,day_of_week,weather
2025-01-01 00:00,2,Night
2025-01-01 01:00,2,Night
2025-01-01 02:00,2,Night
2025-01-01 03:00,2,Night
2025-01-01 04:00,2,Night
2025-01-01 05:00,2,Cloudy
2025-01-01 06:00,2,Sunny
2025-01-01 07:00,2,Sunny
2025-01-01 08:00,2,Sunny
2025-01-01 09:00,2,Sunny
2025-01-01 10:00,2,Sunny
2025-01-01 11:00,2,Sunny
2025-01-01 12:00,2,Sunny
2025-01-01 13:00,2,Sunny
2025-01-01 14:00,2,Sunny
2025-01-01 15:00,2,Sunny
2025-01-01 16:00,2,Cloudy
2025-01-01 17:00,2,Cloudy
2025-01-01 18:00,2,Cloudy
2025-01-01 19:00,2,Night
2025-01-01 20:00,2,Night
2025-01-01 21:00,2,Cloudy
2025-01-01 22:00,2,Rainy
2025-01-01 23:00,2,Stormy
2025-01-02 00:00,3,Night
2025-01-02 01:00,3,Cloudy
2025-01-02 02:00,3,Cloudy
2025-01-02 03:00,3,Stormy
2025-01-02 04:00,3,Stormy
2025-01-02 05:00,3,Stormy
2025-01-02 06:00,3,Rainy
2025-01-02 07:00,3,Rainy
2025-01-02 08:00,3,Cloudy
2025-01-02 09:00,3,Rainy
2025-01-02 10:00,3,Rainy
2025-01-02 11:00,3,Rainy
2025-01-02 12:00,3,Rainy
2025-01-02 13:00,3,Cloudy
2025-01-02 14:00,3,Cloudy
2025-01-02 15:00,3,Cloudy
2025-01-02 16:00,3,Rainy
2025-01-02 17:00,3,Stormy
2025-01-02 18:00,3,Stormy
2025-01-02 19:00,3,Stormy
2025-01-02 20:00,3,Stormy
2025-01-02 21:00,3,Rainy
2025-01-02 22:00,3,Rainy
2025-01-02 23:00,3,Rainy
2025-01-03 00:00,4,Rainy
2025-01-03 01:00,4,Rainy
2025-01-03 02:00,4,Night
2025-01-03 03:00,4,Night
2025-01-03 04:00,4,Night
2025-01-03 05:00,4,Night
2025-01-03 06:00,4,Cloudy
2025-01-03 07:00,4,Sunny
2025-01-03 08:00,4,Sunny
2025-01-03 09:00,4,Sunny
2025-01-03 10:00,4,Sunny
2025-01-03 11:00,4,Sunny
